file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0333JNLJ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1656314784	944f89263b8fbab7fc4ab68a073be16f	https://api.data.igvf.org/sequence-files/IGVFFI0333JNLJ/@@download/IGVFFI0333JNLJ.fastq.gz	s3://igvf-public/2026/08/06/153094c5-4175-4198-8380-b668a345b5ae/IGVFFI0333JNLJ.fastq.gz
IGVFFI0382XNUQ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1635646254	37e2d453cc6efc8031b1da7a3738859f	https://api.data.igvf.org/sequence-files/IGVFFI0382XNUQ/@@download/IGVFFI0382XNUQ.fastq.gz	s3://igvf-public/2026/08/05/40a9985b-c4f2-4a77-9aac-1871387295e1/IGVFFI0382XNUQ.fastq.gz
IGVFFI0490HHPO	raw	IGVFDS6578UICO	C29	0	reads	fastq	1654884937	71dc37a7c59928b7db1c69f707b125d3	https://api.data.igvf.org/sequence-files/IGVFFI0490HHPO/@@download/IGVFFI0490HHPO.fastq.gz	s3://igvf-public/2026/08/06/7f0f1023-ea00-44fe-bddb-50908ac2b836/IGVFFI0490HHPO.fastq.gz
IGVFFI0517YQXJ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1578519250	e532a62bbd2d559a2d2c881ef557c581	https://api.data.igvf.org/sequence-files/IGVFFI0517YQXJ/@@download/IGVFFI0517YQXJ.fastq.gz	s3://igvf-public/2026/08/05/01ce334a-c061-4f47-908b-7c9acc61cc67/IGVFFI0517YQXJ.fastq.gz
IGVFFI1110KOTZ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1796516889	a9529f73052ae55a7ae480b1d19aed7f	https://api.data.igvf.org/sequence-files/IGVFFI1110KOTZ/@@download/IGVFFI1110KOTZ.fastq.gz	s3://igvf-public/2026/08/06/59df6f93-f38c-4fd4-ba2a-a77631f98cce/IGVFFI1110KOTZ.fastq.gz
IGVFFI1120DYIO	raw	IGVFDS6578UICO	C29	0	reads	fastq	1798747252	6d53ac93d69deafe7416c3502b5e9737	https://api.data.igvf.org/sequence-files/IGVFFI1120DYIO/@@download/IGVFFI1120DYIO.fastq.gz	s3://igvf-public/2026/08/06/6c66c7aa-6427-49bf-be5f-4312bb69c08b/IGVFFI1120DYIO.fastq.gz
IGVFFI1945CZGN	raw	IGVFDS6578UICO	C29	0	reads	fastq	1630865972	47cf66be865963b76118e26d9940319a	https://api.data.igvf.org/sequence-files/IGVFFI1945CZGN/@@download/IGVFFI1945CZGN.fastq.gz	s3://igvf-public/2026/08/05/3f55eebc-9629-45eb-ae57-258c32583c77/IGVFFI1945CZGN.fastq.gz
IGVFFI2005LDIA	raw	IGVFDS6578UICO	C29	0	reads	fastq	1649598399	88013296280977dd62747144e206ac24	https://api.data.igvf.org/sequence-files/IGVFFI2005LDIA/@@download/IGVFFI2005LDIA.fastq.gz	s3://igvf-public/2026/08/05/580da860-b6c2-4cae-897e-db3d18268899/IGVFFI2005LDIA.fastq.gz
IGVFFI3070XSCB	raw	IGVFDS6578UICO	C29	0	reads	fastq	1712461566	52619f6d6e51f72b9eca8940045ebbd7	https://api.data.igvf.org/sequence-files/IGVFFI3070XSCB/@@download/IGVFFI3070XSCB.fastq.gz	s3://igvf-public/2026/08/06/99beae84-b11e-4f24-90fd-c3035d37c9b0/IGVFFI3070XSCB.fastq.gz
IGVFFI3093JCXD	raw	IGVFDS6578UICO	C29	0	reads	fastq	1790165082	cdf0a5a624c458eb5c7c49aad615b970	https://api.data.igvf.org/sequence-files/IGVFFI3093JCXD/@@download/IGVFFI3093JCXD.fastq.gz	s3://igvf-public/2026/08/06/68e0f984-f417-4e3f-b367-04191c7e6c13/IGVFFI3093JCXD.fastq.gz
