file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI5305AMYC	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	alignments	bam	17215149066	22782a83af27af11513381e1f1bea6ce	https://api.data.igvf.org/alignment-files/IGVFFI5305AMYC/@@download/IGVFFI5305AMYC.bam	s3://igvf-public/2026/01/27/7b6ae340-9d83-4c15-b71c-6b592d04d87a/IGVFFI5305AMYC.bam
IGVFFI5885XBZW	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	alignments	bam	62132244102	ffb5bfe56db9b5115882060de5cbf961	https://api.data.igvf.org/alignment-files/IGVFFI5885XBZW/@@download/IGVFFI5885XBZW.bam	s3://igvf-public/2026/01/27/baf28768-7c67-4bf3-bfaa-f102e8645a8c/IGVFFI5885XBZW.bam
IGVFFI6520LCGN	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	barcode to donor mapping	tsv	4789942	76edea37e7e4586dec169093d895bd12	https://api.data.igvf.org/tabular-files/IGVFFI6520LCGN/@@download/IGVFFI6520LCGN.tsv.gz	s3://igvf-public/2026/01/26/834771e6-e24c-4e8b-abfe-12fa598e47b6/IGVFFI6520LCGN.tsv.gz
IGVFFI4754DSNY	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	cell by gene matrix	hdf5	219688066	af94df76fdfd5dd4cf4f84c9e2e527f2	https://api.data.igvf.org/matrix-files/IGVFFI4754DSNY/@@download/IGVFFI4754DSNY.h5	s3://igvf-public/2026/01/26/cfe1adae-6266-43c5-9752-b4f8dd2dbdd0/IGVFFI4754DSNY.h5
IGVFFI6639RRVE	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	fragments	tsv	3378835570	e35da8fdd3a4e9a2700417e92dd797e8	https://api.data.igvf.org/tabular-files/IGVFFI6639RRVE/@@download/IGVFFI6639RRVE.tsv.gz	s3://igvf-public/2026/01/26/4f76b2e1-b736-43b8-8161-19f5ecbccabc/IGVFFI6639RRVE.tsv.gz
IGVFFI7689OXTO	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	index	tbi	1402606	82e0e874e1a93294d7a6ecc7222ca89a	https://api.data.igvf.org/index-files/IGVFFI7689OXTO/@@download/IGVFFI7689OXTO.tbi	s3://igvf-public/2026/01/26/d6eac4dc-a6d5-4f81-b263-f5d11f780f75/IGVFFI7689OXTO.tbi
IGVFFI3081YJXT	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	peaks	bed	1949585	0ae3bc7ff1c55c251e33b0756fcc9160	https://api.data.igvf.org/tabular-files/IGVFFI3081YJXT/@@download/IGVFFI3081YJXT.bed.gz	s3://igvf-public/2026/01/28/ce30ebdb-3423-459a-98b0-d4c5118ae263/IGVFFI3081YJXT.bed.gz
IGVFFI3334CNJW	processed	IGVFDS6943WIWV	C29;C37;C38;C39	9;14;16;18	C29:14;C37:16;C38:18;C39:9	per-barcode quality report	tsv	19579164	5dd2260dd418375df3a939a052d5cf51	https://api.data.igvf.org/tabular-files/IGVFFI3334CNJW/@@download/IGVFFI3334CNJW.tsv.gz	s3://igvf-public/2026/07/30/b482a606-cadd-41ff-a32e-2cb38a9a9f38/IGVFFI3334CNJW.tsv.gz
IGVFFI0535JQTV	processed	IGVFDS3769GULF	C29;C37;C38;C39	9;12;14;18	C29:18;C37:9;C38:12;C39:14	alignments	bam	18050917997	05df5ce361d7cca98e53456c622f55aa	https://api.data.igvf.org/alignment-files/IGVFFI0535JQTV/@@download/IGVFFI0535JQTV.bam	s3://igvf-public/2026/01/27/c2754794-d079-4c7e-9ff9-81f5e1103081/IGVFFI0535JQTV.bam
IGVFFI5500WRBD	processed	IGVFDS3769GULF	C29;C37;C38;C39	9;12;14;18	C29:18;C37:9;C38:12;C39:14	alignments	bam	68836725815	06ac9a0abd1b5f59eba50c9fea2c072a	https://api.data.igvf.org/alignment-files/IGVFFI5500WRBD/@@download/IGVFFI5500WRBD.bam	s3://igvf-public/2026/01/27/b44642e2-b4c1-45ef-b47b-d40a8730a534/IGVFFI5500WRBD.bam
