file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0141IRIZ	processed	IGVFDS2554EAVT	A8	0;30	A8:0;A8:30	cell by gene matrix	h5ad	28505458	3c8bd680470e10fd19a5fe4d99bcb42b	https://api.data.igvf.org/matrix-files/IGVFFI0141IRIZ/@@download/IGVFFI0141IRIZ.h5ad	s3://igvf-public/2026/07/22/60e7ab1b-a579-4440-9dd7-4a7f8465c4d3/IGVFFI0141IRIZ.h5ad
IGVFFI2567NMXK	processed	IGVFDS2554EAVT	A8	0;30	A8:0;A8:30	post-segmentation transcript and cell locations	csv	3012	4c2d5f1d645a4983b4a314533938b214	https://api.data.igvf.org/tabular-files/IGVFFI2567NMXK/@@download/IGVFFI2567NMXK.csv.gz	s3://igvf-public/2026/08/03/911586e4-d222-4129-95c6-67a70349aebf/IGVFFI2567NMXK.csv.gz
IGVFFI8045ALSM	processed	IGVFDS2554EAVT	A8	0;30	A8:0;A8:30	spatial transcriptomics cell metadata	csv	2946197	31513f7a4b277f49280dda38fb93e814	https://api.data.igvf.org/tabular-files/IGVFFI8045ALSM/@@download/IGVFFI8045ALSM.csv.gz	s3://igvf-public/2026/08/03/ee82b251-7201-4aa1-bc7b-93804b59c9ef/IGVFFI8045ALSM.csv.gz
IGVFFI9313GBQC	processed	IGVFDS2554EAVT	A8	0;30	A8:0;A8:30	spatial transcriptomics slide-level cell boundaries	csv	9283966	d1529f1b934dabb00b58650a8f20d729	https://api.data.igvf.org/tabular-files/IGVFFI9313GBQC/@@download/IGVFFI9313GBQC.csv.gz	s3://igvf-public/2026/08/03/d09fd161-6838-4ff7-a423-26a993ea5c0c/IGVFFI9313GBQC.csv.gz
IGVFFI9636OUJT	processed	IGVFDS2554EAVT	A8	0;30	A8:0;A8:30	spatial transcriptomics slide-level transcripts	csv	1070194107	9b1e00d49f7b4daeff73a2994fc12827	https://api.data.igvf.org/tabular-files/IGVFFI9636OUJT/@@download/IGVFFI9636OUJT.csv.gz	s3://igvf-public/2026/08/03/af61b5c1-4053-4424-a0f2-f64e8e0328f0/IGVFFI9636OUJT.csv.gz
IGVFFI0193NCHO	processed	IGVFDS9028YESM	A8	0;30	A8:0;A8:30	cell by gene matrix	h5ad	31905317	2665d808109aa3ac05e85152cefe1721	https://api.data.igvf.org/matrix-files/IGVFFI0193NCHO/@@download/IGVFFI0193NCHO.h5ad	s3://igvf-public/2026/07/22/58803930-c6b1-4346-8493-0eb09ad05b12/IGVFFI0193NCHO.h5ad
IGVFFI7917OSJZ	processed	IGVFDS9028YESM	A8	0;30	A8:0;A8:30	post-segmentation transcript and cell locations	csv	3005	e48dd1a6efdbf49bc9350d198ddef4ee	https://api.data.igvf.org/tabular-files/IGVFFI7917OSJZ/@@download/IGVFFI7917OSJZ.csv.gz	s3://igvf-public/2026/08/03/f555963b-271e-46ac-bbe1-15c590d6c6bd/IGVFFI7917OSJZ.csv.gz
IGVFFI4065EQJY	processed	IGVFDS9028YESM	A8	0;30	A8:0;A8:30	spatial transcriptomics cell metadata	csv	3425892	1a92368c7eaaffa54637a59fc73bb60e	https://api.data.igvf.org/tabular-files/IGVFFI4065EQJY/@@download/IGVFFI4065EQJY.csv.gz	s3://igvf-public/2026/08/03/04f90944-2d10-419a-96e2-389eda2df7af/IGVFFI4065EQJY.csv.gz
IGVFFI8976XMTI	processed	IGVFDS9028YESM	A8	0;30	A8:0;A8:30	spatial transcriptomics slide-level cell boundaries	csv	9931297	e0f900a9f2945cc1741b31f03d731d6b	https://api.data.igvf.org/tabular-files/IGVFFI8976XMTI/@@download/IGVFFI8976XMTI.csv.gz	s3://igvf-public/2026/08/03/d32ae975-5645-436e-996d-75c17180acf8/IGVFFI8976XMTI.csv.gz
IGVFFI7330UBKX	processed	IGVFDS9028YESM	A8	0;30	A8:0;A8:30	spatial transcriptomics slide-level transcripts	csv	1191685571	215139f026a11316e8a613d400d1b8e6	https://api.data.igvf.org/tabular-files/IGVFFI7330UBKX/@@download/IGVFFI7330UBKX.csv.gz	s3://igvf-public/2026/08/03/6bf4cf53-d685-401e-9b2a-e8e1d0c388ea/IGVFFI7330UBKX.csv.gz
IGVFFI3858VLGZ	processed	IGVFDS5719MCCP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	cell by gene matrix	h5ad	84410349	608081d684151f35bafadc358ae71d07	https://api.data.igvf.org/matrix-files/IGVFFI3858VLGZ/@@download/IGVFFI3858VLGZ.h5ad	s3://igvf-public/2026/07/22/013b7d51-1a26-4590-8fee-42ec47528986/IGVFFI3858VLGZ.h5ad
IGVFFI0291XXVF	processed	IGVFDS5719MCCP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	post-segmentation transcript and cell locations	csv	7220	e29fd85a9e3e89036ef606b690aa29aa	https://api.data.igvf.org/tabular-files/IGVFFI0291XXVF/@@download/IGVFFI0291XXVF.csv.gz	s3://igvf-public/2026/08/03/8bd54370-8ba8-4e25-be3d-6e8cc80d8f08/IGVFFI0291XXVF.csv.gz
IGVFFI2715DEKW	processed	IGVFDS5719MCCP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	spatial transcriptomics cell metadata	csv	9102939	1810ac073f862b72444824db8f36a14d	https://api.data.igvf.org/tabular-files/IGVFFI2715DEKW/@@download/IGVFFI2715DEKW.csv.gz	s3://igvf-public/2026/08/03/53c721be-5a53-42ce-82b3-a9b2e3a23613/IGVFFI2715DEKW.csv.gz
IGVFFI7322RFAS	processed	IGVFDS5719MCCP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	spatial transcriptomics slide-level cell boundaries	csv	29928450	46615f50e0228ba41304847b774b55a4	https://api.data.igvf.org/tabular-files/IGVFFI7322RFAS/@@download/IGVFFI7322RFAS.csv.gz	s3://igvf-public/2026/08/03/108a5ed2-7a98-41f7-abda-4272f22753f1/IGVFFI7322RFAS.csv.gz
IGVFFI8984VVFJ	processed	IGVFDS5719MCCP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	spatial transcriptomics slide-level transcripts	csv	4033181743	c3570b9e3ceb67a83e3705e935126c7c	https://api.data.igvf.org/tabular-files/IGVFFI8984VVFJ/@@download/IGVFFI8984VVFJ.csv.gz	s3://igvf-public/2026/08/03/143238e6-9e84-421c-9bec-b2fa24acf174/IGVFFI8984VVFJ.csv.gz
IGVFFI3515BKBR	processed	IGVFDS1602JMXG	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	cell by gene matrix	h5ad	83193771	fed977e312d4b5b72d8b7f8b30cb36ce	https://api.data.igvf.org/matrix-files/IGVFFI3515BKBR/@@download/IGVFFI3515BKBR.h5ad	s3://igvf-public/2026/07/22/b5802059-3c38-4a22-8da4-7e78eee6cf03/IGVFFI3515BKBR.h5ad
IGVFFI0345NNRH	processed	IGVFDS1602JMXG	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	post-segmentation transcript and cell locations	csv	6526	81d2a0a5374c8ba98c63069acb4e5ad5	https://api.data.igvf.org/tabular-files/IGVFFI0345NNRH/@@download/IGVFFI0345NNRH.csv.gz	s3://igvf-public/2026/08/03/80c31e84-ef3b-4fc9-a07c-58df1a5e340e/IGVFFI0345NNRH.csv.gz
IGVFFI8166YPWK	processed	IGVFDS1602JMXG	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	spatial transcriptomics cell metadata	csv	8790300	dd6ab14d3842858341c1412475d08db0	https://api.data.igvf.org/tabular-files/IGVFFI8166YPWK/@@download/IGVFFI8166YPWK.csv.gz	s3://igvf-public/2026/08/03/256f1a35-ffbf-46b3-8f48-d48ed41335fc/IGVFFI8166YPWK.csv.gz
IGVFFI9730RRXB	processed	IGVFDS1602JMXG	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	spatial transcriptomics slide-level cell boundaries	csv	28412421	279080660c84e4d9a93ac7a037e19969	https://api.data.igvf.org/tabular-files/IGVFFI9730RRXB/@@download/IGVFFI9730RRXB.csv.gz	s3://igvf-public/2026/08/03/9e7abe3b-b162-4cfa-bfcf-e60b5e636633/IGVFFI9730RRXB.csv.gz
IGVFFI4753VBBW	processed	IGVFDS1602JMXG	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	spatial transcriptomics slide-level transcripts	csv	5777086548	1233b29747858876bd3c5f6a28920e5c	https://api.data.igvf.org/tabular-files/IGVFFI4753VBBW/@@download/IGVFFI4753VBBW.csv.gz	s3://igvf-public/2026/08/03/e3d100c5-7d63-4aba-8217-786b7dc82f47/IGVFFI4753VBBW.csv.gz
IGVFFI5259HIRW	processed	IGVFDS0554SOFJ	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	cell by gene matrix	h5ad	597233107	e183aeeb038efedfb49692d0942453ac	https://api.data.igvf.org/matrix-files/IGVFFI5259HIRW/@@download/IGVFFI5259HIRW.h5ad	s3://igvf-public/2026/07/22/b55b1cea-2f9c-4fc0-b534-eaccc8d57001/IGVFFI5259HIRW.h5ad
IGVFFI4973XJRA	processed	IGVFDS0554SOFJ	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	post-segmentation transcript and cell locations	csv	5675	3b3bb91359570e2e38911896759d5887	https://api.data.igvf.org/tabular-files/IGVFFI4973XJRA/@@download/IGVFFI4973XJRA.csv.gz	s3://igvf-public/2026/07/14/33a6d326-bcf2-4e33-ac03-9ea51f77ce20/IGVFFI4973XJRA.csv.gz
IGVFFI4289IJTC	processed	IGVFDS0554SOFJ	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	spatial transcriptomics cell metadata	csv	8642032	e96e271b4e3eab8a6008c0d6abd34205	https://api.data.igvf.org/tabular-files/IGVFFI4289IJTC/@@download/IGVFFI4289IJTC.csv.gz	s3://igvf-public/2026/07/14/b136257b-2914-404e-8da0-d3c59ddd0f72/IGVFFI4289IJTC.csv.gz
