file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI2923UJHQ	processed	IGVFDS3780JQPT	C29	0	C29:0	alignments	bam	57231437510	5c1860a85dc9c2a86caae49d17dfcb00	https://api.data.igvf.org/alignment-files/IGVFFI2923UJHQ/@@download/IGVFFI2923UJHQ.bam	s3://igvf-public/2026/01/28/66ac931b-7daf-4431-9eba-481b87afd296/IGVFFI2923UJHQ.bam
IGVFFI9784CACO	processed	IGVFDS3780JQPT	C29	0	C29:0	cell by bin contact matrix	mcool	162891622	f488164d31c8cf202169842f5fa6072f	https://api.data.igvf.org/matrix-files/IGVFFI9784CACO/@@download/IGVFFI9784CACO.mcool	s3://igvf-public/2026/01/28/3f7f4c32-4787-4283-9f33-d8db04e5b6ef/IGVFFI9784CACO.mcool
IGVFFI0002BRTT	processed	IGVFDS3780JQPT	C29	0	C29:0	cell by bin methylation count matrix	h5ad	97958722	b47243594672f7c58d0ab7a536f59b5b	https://api.data.igvf.org/matrix-files/IGVFFI0002BRTT/@@download/IGVFFI0002BRTT.h5ad	s3://igvf-public/2026/01/28/2cd17986-e035-46bf-846a-2aaee66f2c18/IGVFFI0002BRTT.h5ad
IGVFFI8710RVFA	processed	IGVFDS3780JQPT	C29	0	C29:0	cell by position methylation count matrix	h5ad	10802943560	7ed5fccc149609097d54a07c4b74dede	https://api.data.igvf.org/matrix-files/IGVFFI8710RVFA/@@download/IGVFFI8710RVFA.h5ad	s3://igvf-public/2026/02/17/ee29afd5-67aa-4cf2-ac89-8db9ab396199/IGVFFI8710RVFA.h5ad
IGVFFI9380MIPH	processed	IGVFDS3780JQPT	C29	0	C29:0	chromatin contact quantifications	bedpe	4729346101	fb77eaaf2fbb8f7c419f80c5df1abcdb	https://api.data.igvf.org/tabular-files/IGVFFI9380MIPH/@@download/IGVFFI9380MIPH.bedpe.gz	s3://igvf-public/2026/01/28/b3fc36fa-bd1e-4742-b199-b49a093e6216/IGVFFI9380MIPH.tsv.gz
IGVFFI1093IPSG	processed	IGVFDS3780JQPT	C29	0	C29:0	index	tbi	2251590	daa1bcebed4f1e9cd4393223fae103c4	https://api.data.igvf.org/index-files/IGVFFI1093IPSG/@@download/IGVFFI1093IPSG.tbi	s3://igvf-public/2026/03/26/80124792-85ee-49f8-a4d1-7cc64a454cdf/IGVFFI1093IPSG.tbi
IGVFFI9157UFKQ	processed	IGVFDS3780JQPT	C29	0	C29:0	methylation counts	tsv	155867428	ef0e1b12841a68cb3fc08166e2b7215c	https://api.data.igvf.org/tabular-files/IGVFFI9157UFKQ/@@download/IGVFFI9157UFKQ.tsv.gz	s3://igvf-public/2026/01/28/74e6d5f1-8596-42d3-a6c7-4acdbdfbc2f4/IGVFFI9157UFKQ.tsv.gz
IGVFFI3977QLTD	processed	IGVFDS3780JQPT	C29	0	C29:0	per-cell quality report	tsv	330348	34bec6ea309a460a758e7c1ff616e619	https://api.data.igvf.org/tabular-files/IGVFFI3977QLTD/@@download/IGVFFI3977QLTD.tsv.gz	s3://igvf-public/2026/07/31/28f0380d-3bbe-4bc6-bfe0-f6c25832f020/IGVFFI3977QLTD.tsv.gz
IGVFFI9624LJSN	processed	IGVFDS4948YCMD	C29	12	C29:12	alignments	bam	50824294082	be7ae5dddd1862b672670e0743ad89c0	https://api.data.igvf.org/alignment-files/IGVFFI9624LJSN/@@download/IGVFFI9624LJSN.bam	s3://igvf-public/2026/01/28/a1fd7669-7f39-427a-bfcb-9191bb8bcb40/IGVFFI9624LJSN.bam
IGVFFI4227GCTS	processed	IGVFDS4948YCMD	C29	12	C29:12	cell by bin contact matrix	mcool	122937693	fa46002eda5a49b1d7774b496b5699e3	https://api.data.igvf.org/matrix-files/IGVFFI4227GCTS/@@download/IGVFFI4227GCTS.mcool	s3://igvf-public/2026/01/28/b2331f31-64fd-4289-97ff-44b6d341a570/IGVFFI4227GCTS.mcool
IGVFFI6328JTAC	processed	IGVFDS4948YCMD	C29	12	C29:12	cell by bin methylation count matrix	h5ad	97962818	321da03d1acbacb66cc45501783f5b8b	https://api.data.igvf.org/matrix-files/IGVFFI6328JTAC/@@download/IGVFFI6328JTAC.h5ad	s3://igvf-public/2026/01/28/b8556225-a0ca-47a2-9544-55c31be1c155/IGVFFI6328JTAC.h5ad
IGVFFI5122LFVB	processed	IGVFDS4948YCMD	C29	12	C29:12	cell by position methylation count matrix	h5ad	9655986920	738e2ab57f5e66f6e0e61ca6be5951e8	https://api.data.igvf.org/matrix-files/IGVFFI5122LFVB/@@download/IGVFFI5122LFVB.h5ad	s3://igvf-public/2026/02/17/677ab799-378c-4bc3-abe5-b57ef505d9ac/IGVFFI5122LFVB.h5ad
IGVFFI2778MZRE	processed	IGVFDS4948YCMD	C29	12	C29:12	chromatin contact quantifications	bedpe	3747112290	ca8efebbfb253351c5d53cd470877311	https://api.data.igvf.org/tabular-files/IGVFFI2778MZRE/@@download/IGVFFI2778MZRE.bedpe.gz	s3://igvf-public/2026/01/28/8dd72642-d462-4c20-9a92-123cac720ec5/IGVFFI2778MZRE.tsv.gz
IGVFFI8062SRXM	processed	IGVFDS4948YCMD	C29	12	C29:12	index	tbi	2151368	d1f0ccc94287f8a08bb9fd5f7d1c1525	https://api.data.igvf.org/index-files/IGVFFI8062SRXM/@@download/IGVFFI8062SRXM.tbi	s3://igvf-public/2026/03/26/0eda729e-37d1-420e-afea-10969e9be7d4/IGVFFI8062SRXM.tbi
IGVFFI3659ODHR	processed	IGVFDS4948YCMD	C29	12	C29:12	methylation counts	tsv	154069569	fbae6048408594e3f3b0f009c28ef04a	https://api.data.igvf.org/tabular-files/IGVFFI3659ODHR/@@download/IGVFFI3659ODHR.tsv.gz	s3://igvf-public/2026/01/28/fd9afe6d-9989-499a-8891-43acde04d824/IGVFFI3659ODHR.tsv.gz
IGVFFI7408DSQM	processed	IGVFDS4948YCMD	C29	12	C29:12	per-cell quality report	tsv	321951	0eee8c66d9b1c3fb5da4693e906663d5	https://api.data.igvf.org/tabular-files/IGVFFI7408DSQM/@@download/IGVFFI7408DSQM.tsv.gz	s3://igvf-public/2026/07/31/ecd1df10-fd71-4516-8735-472214542194/IGVFFI7408DSQM.tsv.gz
IGVFFI9749BZWE	processed	IGVFDS3747OWHA	C29	14	C29:14	alignments	bam	65104848856	60d7a3d87440998df0ae62827c5fb818	https://api.data.igvf.org/alignment-files/IGVFFI9749BZWE/@@download/IGVFFI9749BZWE.bam	s3://igvf-public/2026/01/28/26db0154-f987-4063-b6df-167890b1b797/IGVFFI9749BZWE.bam
IGVFFI5529VKHR	processed	IGVFDS3747OWHA	C29	14	C29:14	cell by bin contact matrix	mcool	160926101	5281088802dd50e47b4e0a14dee0aefe	https://api.data.igvf.org/matrix-files/IGVFFI5529VKHR/@@download/IGVFFI5529VKHR.mcool	s3://igvf-public/2026/01/28/9b037487-3a1e-430c-ba7a-ac50e7293d36/IGVFFI5529VKHR.mcool
IGVFFI0107IPCR	processed	IGVFDS3747OWHA	C29	14	C29:14	cell by bin methylation count matrix	h5ad	97962818	35e18c09665ef785b3960bb3990e4a26	https://api.data.igvf.org/matrix-files/IGVFFI0107IPCR/@@download/IGVFFI0107IPCR.h5ad	s3://igvf-public/2026/01/28/bcd90519-d90a-4af2-91cc-743ad6de4017/IGVFFI0107IPCR.h5ad
IGVFFI2272QIHU	processed	IGVFDS3747OWHA	C29	14	C29:14	cell by position methylation count matrix	h5ad	12444194376	6f4b108e8f639b03d7f823c09e7e4bc2	https://api.data.igvf.org/matrix-files/IGVFFI2272QIHU/@@download/IGVFFI2272QIHU.h5ad	s3://igvf-public/2026/02/17/7fb2eaec-e74a-471d-be8c-515770d49e44/IGVFFI2272QIHU.h5ad
IGVFFI6155NNYF	processed	IGVFDS3747OWHA	C29	14	C29:14	chromatin contact quantifications	bedpe	4969115503	e05cd2dcd156d0ff0df76269d28b6fc6	https://api.data.igvf.org/tabular-files/IGVFFI6155NNYF/@@download/IGVFFI6155NNYF.bedpe.gz	s3://igvf-public/2026/01/28/0cde3ba6-582b-40da-a22a-b73982024819/IGVFFI6155NNYF.tsv.gz
IGVFFI2289XRZK	processed	IGVFDS3747OWHA	C29	14	C29:14	index	tbi	2264730	02f00cacc3603795a36f4b4830eb99ac	https://api.data.igvf.org/index-files/IGVFFI2289XRZK/@@download/IGVFFI2289XRZK.tbi	s3://igvf-public/2026/03/26/812ebf76-2d15-44bf-8f53-3ea7d3f04bc2/IGVFFI2289XRZK.tbi
IGVFFI3676NUYM	processed	IGVFDS3747OWHA	C29	14	C29:14	methylation counts	tsv	159852268	129388ea8fa754f41b635d6458aba003	https://api.data.igvf.org/tabular-files/IGVFFI3676NUYM/@@download/IGVFFI3676NUYM.tsv.gz	s3://igvf-public/2026/01/28/06d47f65-a85a-401d-8a67-56e9217c4fe0/IGVFFI3676NUYM.tsv.gz
IGVFFI0563XIXV	processed	IGVFDS3747OWHA	C29	14	C29:14	per-cell quality report	tsv	332036	df241a31904cda394e36751765ed27dc	https://api.data.igvf.org/tabular-files/IGVFFI0563XIXV/@@download/IGVFFI0563XIXV.tsv.gz	s3://igvf-public/2026/07/31/2a1f878c-caf3-48b5-b901-dfd94fddb3d8/IGVFFI0563XIXV.tsv.gz
IGVFFI3541QMBB	processed	IGVFDS4577MAYO	C29	16	C29:16	alignments	bam	57104717245	8d548874618b32ec1052318399bf76bd	https://api.data.igvf.org/alignment-files/IGVFFI3541QMBB/@@download/IGVFFI3541QMBB.bam	s3://igvf-public/2026/01/28/0be06a5f-5dd3-4aec-b228-1893ae8479e0/IGVFFI3541QMBB.bam
IGVFFI4269MBZY	processed	IGVFDS4577MAYO	C29	16	C29:16	cell by bin contact matrix	mcool	135764420	2fa3e783fd2669ffc1aea3c57d9addd3	https://api.data.igvf.org/matrix-files/IGVFFI4269MBZY/@@download/IGVFFI4269MBZY.mcool	s3://igvf-public/2026/01/28/2d867dd7-29ba-4330-ba72-13e1107a16ca/IGVFFI4269MBZY.mcool
IGVFFI2384XTZQ	processed	IGVFDS4577MAYO	C29	16	C29:16	cell by bin methylation count matrix	h5ad	97962818	ca8c0c7536851e72237b107f53267bb9	https://api.data.igvf.org/matrix-files/IGVFFI2384XTZQ/@@download/IGVFFI2384XTZQ.h5ad	s3://igvf-public/2026/01/28/e2086243-6de6-48fb-84a1-3478e3f00022/IGVFFI2384XTZQ.h5ad
IGVFFI1558UXVV	processed	IGVFDS4577MAYO	C29	16	C29:16	cell by position methylation count matrix	h5ad	10960590408	c381492ca49c4e1e628b6a7cdff23cb1	https://api.data.igvf.org/matrix-files/IGVFFI1558UXVV/@@download/IGVFFI1558UXVV.h5ad	s3://igvf-public/2026/02/17/f6824fda-ff3f-4c14-8970-f63faf78a33d/IGVFFI1558UXVV.h5ad
IGVFFI7184PYBJ	processed	IGVFDS4577MAYO	C29	16	C29:16	chromatin contact quantifications	bedpe	4215927714	bcf63ccfe5dd3d697d24a21da85e2250	https://api.data.igvf.org/tabular-files/IGVFFI7184PYBJ/@@download/IGVFFI7184PYBJ.bedpe.gz	s3://igvf-public/2026/01/28/1c3bdd5b-5dca-4957-9925-05a7b9029fe7/IGVFFI7184PYBJ.tsv.gz
IGVFFI1643TXMT	processed	IGVFDS4577MAYO	C29	16	C29:16	index	tbi	2214770	5a54b5ef58f89bb4d563f404457bfbde	https://api.data.igvf.org/index-files/IGVFFI1643TXMT/@@download/IGVFFI1643TXMT.tbi	s3://igvf-public/2026/03/26/98ac4f14-f3bf-43fc-be22-1160229a371b/IGVFFI1643TXMT.tbi
IGVFFI0776LQAA	processed	IGVFDS4577MAYO	C29	16	C29:16	methylation counts	tsv	156113424	e81c1ee504a64f8457402f31e36253d6	https://api.data.igvf.org/tabular-files/IGVFFI0776LQAA/@@download/IGVFFI0776LQAA.tsv.gz	s3://igvf-public/2026/01/28/b43c093f-9526-4877-93dd-7a365b4e6a48/IGVFFI0776LQAA.tsv.gz
IGVFFI0436XZWZ	processed	IGVFDS4577MAYO	C29	16	C29:16	per-cell quality report	tsv	314328	7235d490bf00bc5a7b691899d922e2b8	https://api.data.igvf.org/tabular-files/IGVFFI0436XZWZ/@@download/IGVFFI0436XZWZ.tsv.gz	s3://igvf-public/2026/07/31/9ae87698-5e24-4856-8d1b-7861d3c23df9/IGVFFI0436XZWZ.tsv.gz
