file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0418MRCV	raw	IGVFDS3330GATY	C29	0	reads	fastq	2279172364	0dce2fd31166017b705225a5897e58e6	https://api.data.igvf.org/sequence-files/IGVFFI0418MRCV/@@download/IGVFFI0418MRCV.fastq.gz	s3://igvf-public/2024/11/18/b4840ab8-1ffc-4f3f-842d-caba294ab602/IGVFFI0418MRCV.fastq.gz
IGVFFI1239ZEWJ	raw	IGVFDS3330GATY	C29	0	reads	fastq	2371301240	3d18479e51fcd50d4c2e196e460e4727	https://api.data.igvf.org/sequence-files/IGVFFI1239ZEWJ/@@download/IGVFFI1239ZEWJ.fastq.gz	s3://igvf-public/2024/11/18/4ce37514-f4d4-469b-8866-f9f476fd7a7a/IGVFFI1239ZEWJ.fastq.gz
IGVFFI1444QOFX	raw	IGVFDS3330GATY	C29	0	reads	fastq	2335075205	3774a2745305abd98bb67502c3760941	https://api.data.igvf.org/sequence-files/IGVFFI1444QOFX/@@download/IGVFFI1444QOFX.fastq.gz	s3://igvf-public/2024/11/18/9d5d03ca-68c3-4c07-a7ce-e972fc53f724/IGVFFI1444QOFX.fastq.gz
IGVFFI1591YHHT	raw	IGVFDS3330GATY	C29	0	reads	fastq	2296841754	d69dfccb5fae18223b5c3b571940d262	https://api.data.igvf.org/sequence-files/IGVFFI1591YHHT/@@download/IGVFFI1591YHHT.fastq.gz	s3://igvf-public/2024/11/18/deb7bf3d-ed57-4628-9eef-4b883325d5ca/IGVFFI1591YHHT.fastq.gz
IGVFFI1884KFQZ	raw	IGVFDS3330GATY	C29	0	reads	fastq	2291346214	d74dd6a921c2f26f724307c702e8707b	https://api.data.igvf.org/sequence-files/IGVFFI1884KFQZ/@@download/IGVFFI1884KFQZ.fastq.gz	s3://igvf-public/2024/11/18/e5a9e97e-e294-424b-b12c-d30b5faf52d3/IGVFFI1884KFQZ.fastq.gz
IGVFFI4239PHTY	raw	IGVFDS3330GATY	C29	0	reads	fastq	2319771662	7b90993da61aba662738702a10851e85	https://api.data.igvf.org/sequence-files/IGVFFI4239PHTY/@@download/IGVFFI4239PHTY.fastq.gz	s3://igvf-public/2024/11/18/9289e92f-2292-454b-b373-1704bb0436aa/IGVFFI4239PHTY.fastq.gz
IGVFFI4864NQZH	raw	IGVFDS3330GATY	C29	0	reads	fastq	2314620491	c29bb5400d9174310310a8585195267f	https://api.data.igvf.org/sequence-files/IGVFFI4864NQZH/@@download/IGVFFI4864NQZH.fastq.gz	s3://igvf-public/2024/11/18/a6a1ae36-2f2b-489a-8d99-7ae0f98428a4/IGVFFI4864NQZH.fastq.gz
IGVFFI4891UDQF	raw	IGVFDS3330GATY	C29	0	reads	fastq	2303432580	c2499f5594a10d7146067a4fe625f8dc	https://api.data.igvf.org/sequence-files/IGVFFI4891UDQF/@@download/IGVFFI4891UDQF.fastq.gz	s3://igvf-public/2024/11/18/7ea81e5e-6f55-4c23-90ff-91f6f8247bf7/IGVFFI4891UDQF.fastq.gz
IGVFFI6550PBVX	raw	IGVFDS3330GATY	C29	0	reads	fastq	2430234853	54b62089575ef577aa4cb180e9d48a11	https://api.data.igvf.org/sequence-files/IGVFFI6550PBVX/@@download/IGVFFI6550PBVX.fastq.gz	s3://igvf-public/2024/11/18/fa734561-7d99-425d-ba13-7ccd4d45d49c/IGVFFI6550PBVX.fastq.gz
IGVFFI7000NPFQ	raw	IGVFDS3330GATY	C29	0	reads	fastq	2353674147	4f4a037dbc4e83b4e63ab43117f96b4e	https://api.data.igvf.org/sequence-files/IGVFFI7000NPFQ/@@download/IGVFFI7000NPFQ.fastq.gz	s3://igvf-public/2024/11/18/bde39ccf-e585-44a4-a0af-e92dcec3d4fd/IGVFFI7000NPFQ.fastq.gz
IGVFFI8548VDVP	raw	IGVFDS3330GATY	C29	0	reads	fastq	2356244030	4d4ec9078375bee5b719e886b37a689c	https://api.data.igvf.org/sequence-files/IGVFFI8548VDVP/@@download/IGVFFI8548VDVP.fastq.gz	s3://igvf-public/2024/11/18/b5948c2d-a761-496e-a6c8-e100e680304a/IGVFFI8548VDVP.fastq.gz
