file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI3689YXUC	processed	IGVFDS5076PIWR	C29	0	C29:0	alignments	bam	5023225992	585a5bdaffa453905c37a3ba271e2f20	https://api.data.igvf.org/alignment-files/IGVFFI3689YXUC/@@download/IGVFFI3689YXUC.bam	s3://igvf-public/2026/02/03/95c2640c-b5cc-452e-81e7-9f6be4b87db2/IGVFFI3689YXUC.bam
IGVFFI8355YEKZ	processed	IGVFDS5076PIWR	C29	0	C29:0	alignments	bam	39540574738	da059bed4077fd0b6f96d0aa0eb5fcec	https://api.data.igvf.org/alignment-files/IGVFFI8355YEKZ/@@download/IGVFFI8355YEKZ.bam	s3://igvf-public/2026/01/28/5d83af60-a6c8-4e09-9f6f-67118651d09a/IGVFFI8355YEKZ.bam
IGVFFI9133AYQQ	processed	IGVFDS5076PIWR	C29	0	C29:0	cell by bin methylation count matrix	h5ad	69745136	2bbd191f961d61335d90fc9113516edf	https://api.data.igvf.org/matrix-files/IGVFFI9133AYQQ/@@download/IGVFFI9133AYQQ.h5ad	s3://igvf-public/2026/01/28/8d2130ad-612f-412b-8055-72a1ff2b308f/IGVFFI9133AYQQ.h5ad
IGVFFI5191EJCX	processed	IGVFDS5076PIWR	C29	0	C29:0	cell by gene matrix	h5ad	43564360	8e828e1c05c7ff476c58134ac66a9d01	https://api.data.igvf.org/matrix-files/IGVFFI5191EJCX/@@download/IGVFFI5191EJCX.h5ad	s3://igvf-public/2026/01/28/b15d0d2e-73d1-4a28-8563-0400765b474e/IGVFFI5191EJCX.h5ad
IGVFFI9702HFXQ	processed	IGVFDS5076PIWR	C29	0	C29:0	cell by position methylation count matrix	h5ad	8999829192	fe498572defa297ea8d6527d72930c67	https://api.data.igvf.org/matrix-files/IGVFFI9702HFXQ/@@download/IGVFFI9702HFXQ.h5ad	s3://igvf-public/2026/02/17/3224ea0f-d55c-4c18-a337-80c5f8d471e9/IGVFFI9702HFXQ.h5ad
IGVFFI4972AOAZ	processed	IGVFDS5076PIWR	C29	0	C29:0	methylation counts	tsv	147712600	22992f14bb8c14e2836bfb8197c92bb7	https://api.data.igvf.org/tabular-files/IGVFFI4972AOAZ/@@download/IGVFFI4972AOAZ.tsv.gz	s3://igvf-public/2026/01/28/1df2758c-c777-458d-87ee-e65acceb5321/IGVFFI4972AOAZ.tsv.gz
IGVFFI8024ZQKH	processed	IGVFDS5076PIWR	C29	0	C29:0	per-cell quality report	tsv	697404	69d6a5f903d32c8b8b7a59d979dc61ff	https://api.data.igvf.org/tabular-files/IGVFFI8024ZQKH/@@download/IGVFFI8024ZQKH.tsv.gz	s3://igvf-public/2026/07/31/b45884c8-03db-46e4-95d1-572ecdb4f8c6/IGVFFI8024ZQKH.tsv.gz
IGVFFI2661ULFD	processed	IGVFDS8836DLQV	C29	12	C29:12	alignments	bam	6145820392	c5080206a898d4ffa8f9a9321a6f0c9d	https://api.data.igvf.org/alignment-files/IGVFFI2661ULFD/@@download/IGVFFI2661ULFD.bam	s3://igvf-public/2026/02/03/0b30b5fe-2ecb-4125-b9d8-581392043c37/IGVFFI2661ULFD.bam
IGVFFI5178FZXL	processed	IGVFDS8836DLQV	C29	12	C29:12	alignments	bam	43659357771	3b05c210f5046a1b2e7e8a2741d851ee	https://api.data.igvf.org/alignment-files/IGVFFI5178FZXL/@@download/IGVFFI5178FZXL.bam	s3://igvf-public/2026/01/28/926642d3-f312-4129-965c-e3cedddb8f33/IGVFFI5178FZXL.bam
IGVFFI7181BQAE	processed	IGVFDS8836DLQV	C29	12	C29:12	cell by bin methylation count matrix	h5ad	62494560	9fa9efef66f6b3df8131089038a5a241	https://api.data.igvf.org/matrix-files/IGVFFI7181BQAE/@@download/IGVFFI7181BQAE.h5ad	s3://igvf-public/2026/01/28/cf9c6c07-883c-458a-a690-5ee694b92a23/IGVFFI7181BQAE.h5ad
IGVFFI3986ETKZ	processed	IGVFDS8836DLQV	C29	12	C29:12	cell by gene matrix	h5ad	42609736	5f87f23cd735156310134c979f5acd9c	https://api.data.igvf.org/matrix-files/IGVFFI3986ETKZ/@@download/IGVFFI3986ETKZ.h5ad	s3://igvf-public/2026/01/28/da366d57-d4f5-482c-aec5-e3d794eb7c13/IGVFFI3986ETKZ.h5ad
IGVFFI4994MYKE	processed	IGVFDS8836DLQV	C29	12	C29:12	cell by position methylation count matrix	h5ad	10152334872	bfbf1a4f2c06fc9b642bb3d95426c4cc	https://api.data.igvf.org/matrix-files/IGVFFI4994MYKE/@@download/IGVFFI4994MYKE.h5ad	s3://igvf-public/2026/02/17/aa674e67-5507-4325-a496-c29aa84e2423/IGVFFI4994MYKE.h5ad
