file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI2302QCCP	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5739382682	e42dfeaf6560c1bca0a6aa5968f4247f	https://api.data.igvf.org/sequence-files/IGVFFI2302QCCP/@@download/IGVFFI2302QCCP.fastq.gz	s3://igvf-public/2024/11/18/60ced3aa-cfb8-4118-a919-62c93cd0cc2c/IGVFFI2302QCCP.fastq.gz
IGVFFI4038KKBQ	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5721873394	a124e453469d52f0552f5cb0c9f91f0c	https://api.data.igvf.org/sequence-files/IGVFFI4038KKBQ/@@download/IGVFFI4038KKBQ.fastq.gz	s3://igvf-public/2024/11/18/6521adb1-98a8-4dc8-a015-025b8319aa38/IGVFFI4038KKBQ.fastq.gz
IGVFFI6856QZOF	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5613626528	77f732e04435cebaf84c15464eb74ea1	https://api.data.igvf.org/sequence-files/IGVFFI6856QZOF/@@download/IGVFFI6856QZOF.fastq.gz	s3://igvf-public/2024/11/18/ee1ca7e6-9e72-4320-b1f5-9048ab59a672/IGVFFI6856QZOF.fastq.gz
IGVFFI7080DPFP	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5714239044	37d527deb154fd4a68e3126284e045d0	https://api.data.igvf.org/sequence-files/IGVFFI7080DPFP/@@download/IGVFFI7080DPFP.fastq.gz	s3://igvf-public/2024/11/18/46235a29-8429-4761-bd1f-3dddfcb4af7c/IGVFFI7080DPFP.fastq.gz
IGVFFI7794XLDU	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5786291805	7b2c9cfba1139e77fa44b08c512a565b	https://api.data.igvf.org/sequence-files/IGVFFI7794XLDU/@@download/IGVFFI7794XLDU.fastq.gz	s3://igvf-public/2024/11/18/6c1d83c3-8d59-4f8f-b901-17279e4ee668/IGVFFI7794XLDU.fastq.gz
IGVFFI8547SUKG	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5730920375	81909bcfa2ca391f3736a3e7701abf52	https://api.data.igvf.org/sequence-files/IGVFFI8547SUKG/@@download/IGVFFI8547SUKG.fastq.gz	s3://igvf-public/2024/11/18/4c0556ae-3c5a-473c-9e31-5da7f1097b6d/IGVFFI8547SUKG.fastq.gz
IGVFFI8970SLTE	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5699708573	af26cc2ae08c9cb9444a00a6b2ae6ec6	https://api.data.igvf.org/sequence-files/IGVFFI8970SLTE/@@download/IGVFFI8970SLTE.fastq.gz	s3://igvf-public/2024/11/18/a85f86ae-9f68-4341-b1a3-9ae20b4ca0ee/IGVFFI8970SLTE.fastq.gz
IGVFFI9208XGYF	raw	IGVFDS8144USAL	C29	0	C29:0	reads	fastq	5700477416	ae032f0b6c372b187f0c36881e89d4dc	https://api.data.igvf.org/sequence-files/IGVFFI9208XGYF/@@download/IGVFFI9208XGYF.fastq.gz	s3://igvf-public/2024/11/18/ffa8fa5a-6b98-4afa-99fc-63fde5dfd724/IGVFFI9208XGYF.fastq.gz
IGVFFI0087VZWC	raw	IGVFDS5782BLYM	C29	12	C29:12	reads	fastq	5285020709	31ba8316c8af0953f4feddef15ade5ae	https://api.data.igvf.org/sequence-files/IGVFFI0087VZWC/@@download/IGVFFI0087VZWC.fastq.gz	s3://igvf-public/2024/11/18/5820aad1-d203-4b18-8aa0-b99bfa7ece75/IGVFFI0087VZWC.fastq.gz
IGVFFI1775KKTK	raw	IGVFDS5782BLYM	C29	12	C29:12	reads	fastq	5258384665	4ffe35559093adb83e77dd9adde3e68c	https://api.data.igvf.org/sequence-files/IGVFFI1775KKTK/@@download/IGVFFI1775KKTK.fastq.gz	s3://igvf-public/2024/11/18/63af0b06-e72d-4f12-9ecc-e6cb27721c9a/IGVFFI1775KKTK.fastq.gz
